"  [ 142.201680807046046, -36.706789256749026 ] "
"  [ 144.374861195745808, -38.07063090476619 ] "
"  [ 145.166520550105218, -37.904027556914833 ] "
"  [ 145.298604968851777, -38.068070635192193 ] "
"  [ 145.166945437948982, -38.273180009069492 ] "
"  [ 142.115355641714842, -34.223905850403348 ] "
"  [ 144.168970639165366, -36.731874487521246 ] "
"  [ 144.293105773454755, -37.279566108340894 ] "
"  [ 144.293105773454755, -37.279566108340894 ] "
"  [ 146.444334236491528, -38.235575989117322 ] "
"  [ 145.04469017465928, -37.900524245985004 ] "
"  [ 145.024740761013959, -38.303863254849844 ] "
"  [ 144.360749699043595, -38.149590670980551 ] "
"  [ 145.356129293777798, -37.871918125917666 ] "
"  [ 146.834829698298449, -38.50205014072646 ] "
"  [ 145.137261034818977, -37.771286126337898 ] "
"  [ 145.024712099779748, -37.872673829889656 ] "
"  [ 144.92525626474216, -37.750858212527731 ] "
"  [ 145.830023160779859, -38.447458764470632 ] "
"  [ 144.191599008615242, -37.560600365706485 ] "
"  [ 145.429940006364745, -37.928680038681364 ] "
"  [ 144.779361731546231, -37.741957160778213 ] "
"  [ 145.246039048198384, -37.916899883571716 ] "
"  [ 145.232921052735463, -37.871590108421586 ] "
"  [ 144.914880788299854, -37.832090881663106 ] "
"  [ 144.717016509746543, -38.166951053702896 ] "
"  [ 145.176829119421939, -37.813237512783616 ] "
"  [ 145.878388776124268, -36.198380792746534 ] "
"  [ 145.178032757847234, -37.804287742913203 ] "
"  [ 146.966971688351094, -37.877881886774354 ] "
"  [ 144.923311515170838, -37.726999646127567 ] "
"  [ 144.574157543883217, -37.653609702870661 ] "
"  [ 146.441970322718845, -36.669099906985231 ] "
"  [ 146.441970322718845, -36.669099906985231 ] "
"  [ 145.01718010124489, -37.827237241740455 ] "
"  [ 144.673773435692908, -37.892650368497861 ] "
"  [ 145.134960345654264, -37.675640303324251 ] "
"  [ 146.494843708470796, -36.051144664364209 ] "
"  [ 145.286449884223828, -37.157620179661514 ] "
"  [ 142.249007000409847, -36.712939993870208 ] "
"  [ 145.118519573226024, -37.838342335543004 ] "
"  [ 144.637070441019972, -36.54577989879494 ] "
"  [ 144.978470462287845, -38.343978154731857 ] "
"  [ 145.257595766127736, -38.496687080483639 ] "
"  [ 145.031715708718849, -37.454500859408959 ] "
"  [ 143.782877555460033, -37.300068958075371 ] "
"  [ 144.379958121161138, -38.050671875558642 ] "
"  [ 145.245751317271896, -38.215750861565731 ] "
